Epoch 1: train_loss=0.7771  val_iou=0.2569  val_f1=0.2939
Epoch 2: train_loss=0.6770  val_iou=0.3571  val_f1=0.3944
Epoch 3: train_loss=0.6181  val_iou=0.8218  val_f1=0.8533
Epoch 4: train_loss=0.5846  val_iou=0.8851  val_f1=0.9121
Epoch 5: train_loss=0.5856  val_iou=0.8764  val_f1=0.9066
Epoch 6: train_loss=0.5776  val_iou=0.7875  val_f1=0.8131
Epoch 7: train_loss=0.5535  val_iou=0.3940  val_f1=0.4172
Epoch 8: train_loss=0.5482  val_iou=0.4475  val_f1=0.4785
Epoch 9: train_loss=0.5499  val_iou=0.2829  val_f1=0.3086
Epoch 10: train_loss=0.5371  val_iou=0.4905  val_f1=0.5143
Epoch 11: train_loss=0.5221  val_iou=0.7466  val_f1=0.7685
Epoch 12: train_loss=0.5142  val_iou=0.7993  val_f1=0.8204
Epoch 13: train_loss=0.5224  val_iou=0.7513  val_f1=0.7717
Epoch 14: train_loss=0.5082  val_iou=0.8021  val_f1=0.8221
Epoch 15: train_loss=0.5198  val_iou=0.9001  val_f1=0.9209
Epoch 16: train_loss=0.4938  val_iou=0.6019  val_f1=0.6220
Epoch 17: train_loss=0.5098  val_iou=0.5544  val_f1=0.5737
Epoch 18: train_loss=0.5123  val_iou=0.6546  val_f1=0.6738
Epoch 19: train_loss=0.5085  val_iou=0.7036  val_f1=0.7231
Epoch 20: train_loss=0.4887  val_iou=0.6501  val_f1=0.6707
Epoch 21: train_loss=0.4949  val_iou=0.6004  val_f1=0.6208
Epoch 22: train_loss=0.4966  val_iou=0.7527  val_f1=0.7724
Epoch 23: train_loss=0.4955  val_iou=0.7012  val_f1=0.7214
Epoch 24: train_loss=0.5096  val_iou=0.7009  val_f1=0.7210
Epoch 25: train_loss=0.4890  val_iou=0.8543  val_f1=0.8736
Epoch 26: train_loss=0.4928  val_iou=0.8526  val_f1=0.8722
Epoch 27: train_loss=0.4799  val_iou=0.8520  val_f1=0.8718
Epoch 28: train_loss=0.4798  val_iou=0.8034  val_f1=0.8230
Epoch 29: train_loss=0.4899  val_iou=0.8530  val_f1=0.8726
Epoch 30: train_loss=0.4790  val_iou=0.8049  val_f1=0.8240
Epoch 31: train_loss=0.4921  val_iou=0.8035  val_f1=0.8229
Epoch 32: train_loss=0.4904  val_iou=0.8045  val_f1=0.8236
Epoch 33: train_loss=0.4857  val_iou=0.7552  val_f1=0.7741
Epoch 34: train_loss=0.4856  val_iou=0.8565  val_f1=0.8750
Epoch 35: train_loss=0.4817  val_iou=0.8046  val_f1=0.8236
Epoch 36: train_loss=0.4870  val_iou=0.7552  val_f1=0.7741
Epoch 37: train_loss=0.4967  val_iou=0.7547  val_f1=0.7738
Epoch 38: train_loss=0.4862  val_iou=0.8046  val_f1=0.8235
Epoch 39: train_loss=0.5002  val_iou=0.7562  val_f1=0.7748
Epoch 40: train_loss=0.4743  val_iou=0.8565  val_f1=0.8750

Done. Best val IoU: 0.9001. Model saved in results_seg
