Epoch 1: train_loss=0.8409  val_iou=0.1842  val_f1=0.2327
Epoch 2: train_loss=0.7463  val_iou=0.2810  val_f1=0.3081
Epoch 3: train_loss=0.6871  val_iou=0.2914  val_f1=0.3151
Epoch 4: train_loss=0.6438  val_iou=0.2974  val_f1=0.3193
Epoch 5: train_loss=0.6194  val_iou=0.2855  val_f1=0.3113
Epoch 6: train_loss=0.5750  val_iou=0.2875  val_f1=0.3124
Epoch 7: train_loss=0.5687  val_iou=0.2892  val_f1=0.3138
Epoch 8: train_loss=0.5677  val_iou=0.2903  val_f1=0.3141
Epoch 9: train_loss=0.5688  val_iou=0.2817  val_f1=0.3075
Epoch 10: train_loss=0.5358  val_iou=0.2921  val_f1=0.3152
Epoch 11: train_loss=0.5334  val_iou=0.2873  val_f1=0.3111
Epoch 12: train_loss=0.5267  val_iou=0.2964  val_f1=0.3180
Epoch 13: train_loss=0.5126  val_iou=0.3021  val_f1=0.3223
Epoch 14: train_loss=0.5205  val_iou=0.6994  val_f1=0.7201
Epoch 15: train_loss=0.5228  val_iou=0.4560  val_f1=0.4746
Epoch 16: train_loss=0.5057  val_iou=0.3005  val_f1=0.3207
Epoch 17: train_loss=0.5078  val_iou=0.6501  val_f1=0.6705
Epoch 18: train_loss=0.5116  val_iou=0.7634  val_f1=0.7795
Epoch 19: train_loss=0.4882  val_iou=0.7591  val_f1=0.7767
Epoch 20: train_loss=0.4906  val_iou=0.6055  val_f1=0.6242
Epoch 21: train_loss=0.5029  val_iou=0.7611  val_f1=0.7779
Epoch 22: train_loss=0.5013  val_iou=0.4582  val_f1=0.4763
Epoch 23: train_loss=0.5088  val_iou=0.3112  val_f1=0.3281
Epoch 24: train_loss=0.4837  val_iou=0.9027  val_f1=0.9222
Epoch 25: train_loss=0.4905  val_iou=0.5609  val_f1=0.5777
Epoch 26: train_loss=0.4959  val_iou=0.7547  val_f1=0.7736
Epoch 27: train_loss=0.4944  val_iou=0.7588  val_f1=0.7764
Epoch 28: train_loss=0.4959  val_iou=0.6621  val_f1=0.6785
Epoch 29: train_loss=0.5021  val_iou=0.7621  val_f1=0.7787
Epoch 30: train_loss=0.4849  val_iou=0.5147  val_f1=0.5302
Epoch 31: train_loss=0.5045  val_iou=0.6091  val_f1=0.6266
Epoch 32: train_loss=0.4970  val_iou=0.7146  val_f1=0.7302
Epoch 33: train_loss=0.4711  val_iou=0.7677  val_f1=0.7821
Epoch 34: train_loss=0.4859  val_iou=0.8087  val_f1=0.8262
Epoch 35: train_loss=0.4856  val_iou=0.7637  val_f1=0.7796
Epoch 36: train_loss=0.4886  val_iou=0.7659  val_f1=0.7809
Epoch 37: train_loss=0.4757  val_iou=0.8154  val_f1=0.8306
Epoch 38: train_loss=0.4804  val_iou=0.7175  val_f1=0.7320
Epoch 39: train_loss=0.4833  val_iou=0.8148  val_f1=0.8302
Epoch 40: train_loss=0.4691  val_iou=0.7661  val_f1=0.7811

Done. Best val IoU: 0.9027. Model saved in results_seg
